                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4275,                0.66417,                 1.4873,                0.99917,                0.96512,                0.96847,                0.61643,                 1.3185,                0.63439,                 1.5942,              0.0010666,              0.0010666,              0.0010666
                     36,                 1.4308,                0.65098,                 1.4929,                0.99809,                0.96512,                0.96761,                0.61317,                 1.2997,                0.59131,                 1.6076,              0.0010383,              0.0010383,              0.0010383
                     37,                 1.4214,                  0.628,                 1.4833,                0.99918,                0.96512,                0.96903,                0.58702,                 1.3518,                0.54275,                 1.6544,                0.00101,                0.00101,                0.00101
                     38,                 1.4649,                0.66883,                 1.4792,                0.99915,                0.96512,                0.97534,                0.64044,                 1.2574,                0.53896,                 1.5879,             0.00098171,             0.00098171,             0.00098171
                     39,                 1.3796,                0.61242,                 1.4641,                0.99917,                0.96512,                0.98141,                0.64917,                 1.2949,                0.55442,                 1.5972,             0.00095343,             0.00095343,             0.00095343
                     40,                 1.3602,                0.61146,                 1.4427,                0.99914,                0.96512,                0.97381,                0.64263,                 1.2978,                0.52436,                 1.5986,             0.00092514,             0.00092514,             0.00092514
                     41,                 1.4057,                0.62049,                 1.4889,                0.99915,                0.96512,                0.97284,                0.64107,                 1.2942,                0.51112,                 1.6136,             0.00089686,             0.00089686,             0.00089686
                     42,                 1.3674,                0.60486,                 1.4496,                0.99915,                0.96512,                0.97158,                0.64643,                 1.2875,                0.54385,                 1.6222,             0.00086857,             0.00086857,             0.00086857
                     43,                 1.3395,                0.62452,                 1.4694,                0.99914,                0.96512,                0.97105,                0.59171,                 1.4714,                0.59362,                 1.7799,             0.00084029,             0.00084029,             0.00084029
                     44,                 1.3579,                0.60653,                 1.4853,                0.99914,                0.96512,                0.96933,                0.64416,                 1.2908,                0.51027,                 1.6158,               0.000812,               0.000812,               0.000812
                     45,                 1.3691,                 0.6148,                 1.4501,                0.99916,                0.96512,                0.96935,                0.62787,                 1.3182,                0.51791,                 1.6306,             0.00078371,             0.00078371,             0.00078371
                     46,                 1.3503,                0.57677,                 1.4587,                0.99915,                0.96512,                0.98069,                0.64981,                 1.3883,                0.50361,                 1.6825,             0.00075543,             0.00075543,             0.00075543
                     47,                 1.4121,                0.59986,                 1.5027,                0.99918,                0.96512,                  0.979,                0.66166,                 1.2913,                0.50436,                 1.5864,             0.00072714,             0.00072714,             0.00072714
                     48,                 1.3457,                0.60564,                 1.4585,                0.99911,                0.96512,                0.97834,                0.63616,                 1.3435,                0.51153,                 1.6409,             0.00069886,             0.00069886,             0.00069886
                     49,                 1.3396,                0.58512,                 1.4217,                0.99916,                0.96512,                0.98141,                0.67378,                 1.3237,                0.49731,                 1.6312,             0.00067057,             0.00067057,             0.00067057
                     50,                  1.385,                0.59232,                 1.4717,                 0.9991,                0.96512,                0.97873,                0.65491,                 1.3173,                0.51677,                 1.6233,             0.00064229,             0.00064229,             0.00064229
                     51,                 1.3275,                0.57662,                 1.4306,                0.99917,                0.96512,                 0.9816,                0.67604,                 1.3031,                 0.5019,                 1.6264,               0.000614,               0.000614,               0.000614
                     52,                 1.3338,                0.59627,                 1.4454,                0.99918,                0.96512,                 0.9818,                0.68058,                 1.2856,                0.49425,                 1.6116,             0.00058571,             0.00058571,             0.00058571
                     53,                 1.3264,                0.57513,                 1.4575,                0.99918,                0.96512,                0.98035,                0.69016,                 1.2355,                0.46337,                 1.5729,             0.00055743,             0.00055743,             0.00055743
                     54,                 1.2965,                0.59569,                 1.3684,                0.99912,                0.96512,                0.98104,                0.67879,                 1.2683,                0.49664,                 1.5985,             0.00052914,             0.00052914,             0.00052914
                     55,                 1.3051,                0.56892,                 1.4118,                      1,                0.96512,                 0.9822,                0.67559,                 1.2716,                0.49029,                 1.6011,             0.00050086,             0.00050086,             0.00050086
                     56,                   1.36,                0.56189,                 1.4585,                0.99915,                0.96512,                 0.9818,                0.67654,                  1.265,                0.49078,                 1.6097,             0.00047257,             0.00047257,             0.00047257
                     57,                 1.3038,                0.55275,                 1.4327,                0.99918,                0.96512,                  0.982,                0.67338,                 1.2994,                0.49136,                 1.6627,             0.00044429,             0.00044429,             0.00044429
                     58,                 1.3383,                0.58789,                 1.4491,                0.99911,                0.96512,                  0.982,                0.67645,                 1.2644,                0.48761,                 1.6226,               0.000416,               0.000416,               0.000416
                     59,                 1.2509,                0.54971,                 1.3906,                      1,                0.96512,                 0.9822,                0.67605,                 1.2891,                0.49043,                 1.6402,             0.00038771,             0.00038771,             0.00038771
                     60,                 1.3071,                0.54686,                 1.4109,                      1,                0.96512,                 0.9822,                0.67394,                 1.3075,                0.48283,                 1.6584,             0.00035943,             0.00035943,             0.00035943
                     61,                 1.3081,                0.49566,                 1.4641,                 0.9991,                0.96512,                0.97624,                0.65388,                 1.3216,                0.47416,                 1.6575,             0.00033114,             0.00033114,             0.00033114
                     62,                 1.3255,                 0.4925,                 1.5121,                0.99911,                0.96512,                0.98104,                0.68277,                 1.2787,                0.46725,                 1.6407,             0.00030286,             0.00030286,             0.00030286
                     63,                 1.2642,                0.48176,                 1.4886,                0.99915,                0.96512,                  0.982,                0.69236,                  1.262,                0.45884,                 1.6294,             0.00027457,             0.00027457,             0.00027457
                     64,                 1.2934,                 0.4945,                 1.5078,                      1,                0.96512,                 0.9822,                0.68159,                 1.2737,                 0.4556,                 1.6315,             0.00024629,             0.00024629,             0.00024629
                     65,                 1.2623,                0.48879,                 1.4769,                      1,                0.96512,                 0.9822,                0.68244,                 1.2666,                0.45179,                  1.618,               0.000218,               0.000218,               0.000218
                     66,                 1.2792,                0.47683,                 1.4982,                      1,                0.96512,                 0.9822,                0.69084,                 1.2552,                0.45224,                 1.6008,             0.00018971,             0.00018971,             0.00018971
                     67,                 1.2623,                 0.4686,                 1.4905,                0.99917,                0.96512,                  0.982,                 0.6752,                 1.2944,                  0.447,                 1.6479,             0.00016143,             0.00016143,             0.00016143
                     68,                 1.2423,                0.46666,                 1.4737,                0.99915,                0.96512,                 0.9818,                0.68134,                 1.2806,                0.44857,                 1.6386,             0.00013314,             0.00013314,             0.00013314
                     69,                  1.246,                0.47114,                 1.4566,                0.99911,                0.96512,                0.98104,                0.68015,                 1.2655,                0.44896,                 1.6155,             0.00010486,             0.00010486,             0.00010486
                     70,                 1.2112,                0.46209,                 1.4507,                0.99913,                0.96512,                 0.9816,                0.68398,                 1.2808,                0.44572,                 1.6254,             7.6571e-05,             7.6571e-05,             7.6571e-05
